Protein Id	Gene Symbol	Description	Group ID	Number of peptides	Collapsed	Parsimony	default~rq_126_sn sum	default~rq_127n_sn sum	default~rq_127c_sn sum	default~rq_128n_sn sum	default~rq_128c_sn sum	default~rq_129n_sn sum	default~rq_129c_sn sum	default~rq_130n_sn sum	default~rq_130c_sn sum	default~rq_131_sn sum	default~rq_131c_sn sum
sp|P50750-2|CDK9_HUMAN	CDK9	CDK9_HUMAN Isoform 2 of Cyclin-dependent kinase 9	7	39	C	UR	6571.1	6054.79	6001.61	5264.16	3953.32	6541	6763.09	5291.43	5520.24	6791.82	5415.32
sp|P07948|LYN_HUMAN	LYN	LYN_HUMAN Tyrosine-protein kinase Lyn	7	26	C	UR	8140.44	400.334	871.919	1432.2	432.732	6887.55	2497.78	12005.7	7250.01	6646.03	6613.46
sp|Q04912|RON_HUMAN	MST1R	RON_HUMAN Macrophage-stimulating protein receptor	7	39	C	UR	6171.62	6919.08	4075.32	5644.79	2567.5	1979.99	1825.23	1637.65	4333.63	2976.67	3849.45
sp|Q00534|CDK6_HUMAN	CDK6	CDK6_HUMAN Cyclin-dependent kinase 6	7	55	C	UR	2564.14	2347.7	3140.54	1856.18	4283.56	32601.5	17438.5	16098.1	15248.1	6421.39	7566.06
sp|P22455|FGFR4_HUMAN	FGFR4	FGFR4_HUMAN Fibroblast growth factor receptor 4	7	15	C	UR	749.127	7812.84	3018.42	2617.25	1810.76	621.18	1342.59	1113.25	726.674	1111.36	708.559
sp|Q00536-2|CDK16_HUMAN	CDK16	CDK16_HUMAN Isoform 2 of Cyclin-dependent kinase 16	7	27	C	UR	2734.27	5184.8	4531.81	5078.23	3626.91	4515.88	3107.2	3897.42	4804.88	3697.51	3516.74
sp|P08581|MET_HUMAN	MET	MET_HUMAN Hepatocyte growth factor receptor	7	108	C	UR	6364.12	4214.66	5485.8	3826.08	3180.7	65059.5	20172.6	17179.5	34302.5	28060.7	28232.4
sp|P06493|CDK1_HUMAN	CDK1	CDK1_HUMAN Cyclin-dependent kinase 1	7	112	C	UR	8996.77	17630.2	17577.4	24443.7	15055.4	32628.3	27698.1	32586.6	30225	23183.2	25140
sp|Q13188|STK3_HUMAN	STK3	STK3_HUMAN Serine/threonine-protein kinase 3	7	62	C	UR	9854.3	10882.8	17651.8	11614.8	7089.14	8085.62	11870	17593.1	16422.9	13164.1	12471.5
sp|Q13043|STK4_HUMAN	STK4	STK4_HUMAN Serine/threonine-protein kinase 4	7	24	C	UR	1451.91	2544.11	3541.25	4543.74	3059.2	4964.81	4972.63	9342.29	8552.54	4908.21	4617.59
sp|P11802|CDK4_HUMAN	CDK4	CDK4_HUMAN Cyclin-dependent kinase 4	7	58	C	UR	2756.94	4591.93	3676.64	13657.6	5992.82	18735	14534.5	18490.3	6814.75	7805.46	6598.75
sp|P11362-21|FGFR1_HUMAN	FGFR1	FGFR1_HUMAN Isoform 21 of Fibroblast growth factor receptor 1	7	20	C	UR	1127.18	7292.1	872.008	3060.14	1212.3	2398.7	5983.6	8484.05	4931.83	2595.03	2896.48
sp|Q00535|CDK5_HUMAN	CDK5	CDK5_HUMAN Cyclin-dependent kinase 5	7	32	C	UR	5236.21	9180.26	7024.44	5079.16	4193.76	4948.43	4133.99	6405.88	2831.1	3403.79	3446.52
sp|P08631|HCK_HUMAN	HCK	HCK_HUMAN Tyrosine-protein kinase HCK	7	1	C	UR	128.256	3.41327	11.3947	21.4544	2.13509	122.401	53.6805	178.211	121.804	108.982	96.3078
sp|P21802-11|FGFR2_HUMAN	FGFR2	FGFR2_HUMAN Isoform 11 of Fibroblast growth factor receptor 2	7	2	C	UR	157.565	925.589	476.098	466.122	304.434	196.073	339.998	317.716	226.77	248.96	279.482
sp|Q00537|CDK17_HUMAN	CDK17	CDK17_HUMAN Cyclin-dependent kinase 17	7	16	C	UR	1818.52	2675.46	1956.17	1931.39	1850.76	2332.19	1787.47	2775.7	3696.38	2419.2	2190.96
sp|Q07002-3|CDK18_HUMAN	CDK18	CDK18_HUMAN Isoform 3 of Cyclin-dependent kinase 18	7	1	C	UR	65.8267	36.4148	50.6153	43.4932	53.0795	35.6857	73.6506	50.658	34.3695	47.8849	46.3642
sp|P41240|CSK_HUMAN	CSK	CSK_HUMAN Tyrosine-protein kinase CSK	7	52	C	UR	10496.7	11824.1	11114	14223.1	11905.1	9813.37	5708.26	12645.6	8978.55	11847.1	12769.1
sp|P42685|FRK_HUMAN	FRK	FRK_HUMAN Tyrosine-protein kinase FRK	7	26	C	UR	2976.68	10193.1	5964.79	4664.99	2118.86	1368.65	1379.78	1120.03	1227.12	2302.93	1972.35
sp|P36578|RL4_HUMAN	RPL4	RL4_HUMAN 60S ribosomal protein L4	8	204	C	UR	50049.7	38566.8	34501	43361.9	36947.1	24863.6	53654	49847.9	38329	54320.2	52925.9
sp|Q6SPF0|SAMD1_HUMAN	SAMD1	SAMD1_HUMAN Atherin	9	21	C	UR	2370.42	2413.74	1500.16	2199.15	1763.72	2881.63	2409.47	2775.52	3523.83	3096.37	2785.13
sp|O60779|S19A2_HUMAN	SLC19A2	S19A2_HUMAN Thiamine transporter 1	10	1	C	UR	473.246	224.278	124.216	135.12	99.6726	85.9242	106.891	39.9273	96.765	107.896	145.73
sp|O76031|CLPX_HUMAN	CLPX	CLPX_HUMAN ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	11	108	C	UR	29334.5	18334.7	24134.3	17723.3	19202.5	17735.1	20783.5	20789.9	15091.9	19187	20082
sp|Q9ULW3|ABT1_HUMAN	ABT1	ABT1_HUMAN Activator of basal transcription 1	12	16	C	UR	2126.5	1802	1407.28	1866.2	1461.08	2877.69	3424.09	3162.41	2630.33	2408.71	3486.33
sp|Q8WUQ7-2|CATIN_HUMAN	CACTIN	CATIN_HUMAN Isoform 2 of Cactin	13	44	C	UR	9819.42	4587.85	6956.39	6885.96	6729.02	8672.22	8678.97	7947.16	8271.98	9314.26	8617.74
sp|P82914|RT15_HUMAN	MRPS15	RT15_HUMAN 28S ribosomal protein S15, mitochondrial	14	26	C	UR	12411.7	8709.28	8003.13	6258.18	8798.65	5388.38	6494.22	5269.54	3200.14	7729.11	7056.53
sp|A6NIH7|U119B_HUMAN	UNC119B	U119B_HUMAN Protein unc-119 homolog B	15	21	C	UR	2278.99	3057.43	2285.55	3483.2	2956.86	1939.58	3392.49	3805.96	3818.8	2354.86	2448.19
sp|Q9BTD8|RBM42_HUMAN	RBM42	RBM42_HUMAN RNA-binding protein 42	16	47	C	UR	5527.31	3599.58	6629.38	5215.28	5607.03	10825	10155.6	6437.46	6268.66	6414.05	6463.9
sp|Q9P258|RCC2_HUMAN	RCC2	RCC2_HUMAN Protein RCC2	17	169	C	UR	25379.6	36843.3	22002.7	19602.6	13528.7	38724.2	36256.6	17586.1	35476.8	19467.4	23354.2
sp|Q9H3U1|UN45A_HUMAN	UNC45A	UN45A_HUMAN Protein unc-45 homolog A	18	160	C	UR	22597.4	22500	25815	28541.9	35712.8	17864.6	16277.6	20253.2	22672.4	26567.7	22700
sp|Q9P2E5|CHPF2_HUMAN	CHPF2	CHPF2_HUMAN Chondroitin sulfate glucuronyltransferase	19	21	C	UR	1775.54	2414.83	2034.86	1983.86	1588.45	3877.77	1843.96	2818.79	1829.25	2696.41	2622.61
sp|Q9BRZ2|TRI56_HUMAN	TRIM56	TRI56_HUMAN E3 ubiquitin-protein ligase TRIM56	20	50	C	UR	11027.4	6595.53	6504.97	5800.9	5861.59	9559.61	6702.04	5559.78	5583.2	8069.24	8728.35
sp|Q9HC84|MUC5B_HUMAN	MUC5B	MUC5B_HUMAN Mucin-5B	20	40	C	UR	6559.64	9680.87	6279.81	13068.6	4513.64	1895.58	1404.21	1322.83	1474.88	3963.2	3865.78
sp|P98088|MUC5A_HUMAN	MUC5AC	MUC5A_HUMAN Mucin-5AC (Fragments)	20	35	C	UR	858.998	808.782	1578.56	1037.42	36751.8	935.728	2234.4	935.034	1017.17	1814.77	1892.43
sp|Q02817|MUC2_HUMAN	MUC2	MUC2_HUMAN Mucin-2	20	185	C	UR	5555.33	4368.99	8403.67	2815.19	289832	4519.19	15288.9	3887.57	4570.53	3502.26	3949.23
tr|E7EUV1|E7EUV1_HUMAN	MUC2	E7EUV1_HUMAN Mucin-2	20	2	C	UR	37.0585	38.4351	127.149	9.44238	4334.27	50.0967	171.196	42.5469	50.3878	42.5634	41.6478
sp|Q15834|CC85B_HUMAN	CCDC85B	CC85B_HUMAN Coiled-coil domain-containing protein 85B	20	8	C	UR	241.491	463.405	425.223	670.976	518.802	779.125	470.992	707.721	710.584	639.001	627.871
sp|O60518|RNBP6_HUMAN	RANBP6	RNBP6_HUMAN Ran-binding protein 6	21	48	C	UR	6625.72	4463.72	12132.1	4035.96	13033	5116.04	13025.2	8991.98	6238	7402	7375.02
sp|O00410-3|IPO5_HUMAN	IPO5	IPO5_HUMAN Isoform 3 of Importin-5	21	321	C	UR	33859	29168	32640	34117.6	45051.9	56811.1	40451.3	129982	65952.2	49315.8	46124.3
sp|Q99523|SORT_HUMAN	SORT1	SORT_HUMAN Sortilin	22	48	C	UR	13896.3	17456	4083.9	10368.3	6608.6	3980.14	11646.3	9313.27	6550.37	8723.49	9852.77
sp|Q9Y2U8|MAN1_HUMAN	LEMD3	MAN1_HUMAN Inner nuclear membrane protein Man1	23	142	C	UR	21875.3	25328.3	19624	25781.1	16014.8	20700	20706.2	14466.2	18664.7	17935.4	17591.3
sp|O00458|IFRD1_HUMAN	IFRD1	IFRD1_HUMAN Interferon-related developmental regulator 1	24	15	C	UR	3483.61	2445.96	1969	946.47	675.735	3165.47	1914.7	1848.43	2217.07	1936.82	2281.92
sp|Q8NFZ5|TNIP2_HUMAN	TNIP2	TNIP2_HUMAN TNFAIP3-interacting protein 2	25	4	C	UR	311.857	930.303	570.457	606.615	1678.8	663.039	687.685	624.795	2030.62	702.311	748.183
sp|Q9NYY3|PLK2_HUMAN	PLK2	PLK2_HUMAN Serine/threonine-protein kinase PLK2	26	2	C	UR	251.189	70.5775	97.7251	65.6386	132.695	346.932	308.975	489.142	205.839	130.42	148.25
sp|Q96CC6|RHDF1_HUMAN	RHBDF1	RHDF1_HUMAN Inactive rhomboid protein 1	27	24	C	UR	3193.91	3423.5	2446.68	4026.6	5743	1430.84	1103.8	832.257	1507.97	1465.02	1724.16
sp|P30044|PRDX5_HUMAN	PRDX5	PRDX5_HUMAN Peroxiredoxin-5, mitochondrial	28	114	C	UR	30251.7	30728.1	73175.1	19955.1	31847.6	29592.6	14948.3	17003.2	14994.5	19522.3	23016.1
sp|Q15596|NCOA2_HUMAN	NCOA2	NCOA2_HUMAN Nuclear receptor coactivator 2	29	33	C	UR	3399.27	4329.53	5150.18	3657.55	7227.45	3967.79	5790.44	4447.88	3032.41	2512.3	2407.84
sp|Q9Y6Q9|NCOA3_HUMAN	NCOA3	NCOA3_HUMAN Nuclear receptor coactivator 3	29	45	C	UR	4236.26	3782.65	8465.45	6517.51	8135.71	7422.25	7907.55	8432.48	7042.67	8957.87	8913.21
sp|Q9UPT8|ZC3H4_HUMAN	ZC3H4	ZC3H4_HUMAN Zinc finger CCCH domain-containing protein 4	30	67	C	UR	11291.3	11644.4	10140.5	10965.1	12176.4	11470	11748.1	9345.72	9471.31	10141.8	10638.7
sp|Q68DK7|MSL1_HUMAN	MSL1	MSL1_HUMAN Male-specific lethal 1 homolog	31	58	C	UR	3195.85	2990.35	32213.5	5254.23	5306.99	4396.82	4006.99	4922.55	6158.03	5422.69	5795.38
sp|Q96L91|EP400_HUMAN	EP400	EP400_HUMAN E1A-binding protein p400	32	123	C	UR	13925.2	18129.8	18214.6	15985.8	14228.8	20473.2	23819.3	22162.7	21317.4	23697.6	23230.7
sp|P52701|MSH6_HUMAN	MSH6	MSH6_HUMAN DNA mismatch repair protein Msh6	33	236	C	UR	16837.1	29705.9	54050.5	32978.7	22786.2	66574.2	39548.1	40043	40455.4	35912.5	32132.2
sp|P20585|MSH3_HUMAN	MSH3	MSH3_HUMAN DNA mismatch repair protein Msh3	33	80	C	UR	9161.66	15129.4	7623.56	12244.2	9185.17	9134.27	15639.4	12519.1	10199.2	9275.46	9274.94
sp|Q6XQN6|PNCB_HUMAN	NAPRT1	PNCB_HUMAN Nicotinate phosphoribosyltransferase	34	113	C	UR	3126.92	18360	30584.5	7827.5	7666.09	4355.03	5103.67	10787.5	11553.8	12952.3	10859.4
tr|H0YDS0|H0YDS0_HUMAN	UBQLN1	H0YDS0_HUMAN Ubiquilin-1 (Fragment)	35	1	C	UR	13.0362	16.7478	15.7542	41.3217	19.5826	49.5673	16.8689	75.4686	67.2221	20.1335	19.4277
sp|Q9NRR5|UBQL4_HUMAN	UBQLN4	UBQL4_HUMAN Ubiquilin-4	35	80	C	UR	4194.72	10083.1	10448.7	11211.2	10819.7	7813.71	10637.8	5181.41	5391.71	5613.07	5362.59
sp|Q9UMX0|UBQL1_HUMAN	UBQLN1	UBQL1_HUMAN Ubiquilin-1	35	77	C	UR	3989.03	5982.63	4500.49	6373.75	6187.79	5596.59	4577.23	6988.34	6167.42	5039.14	4689.58
sp|Q9UMX0-2|UBQL1_HUMAN	UBQLN1	UBQL1_HUMAN Isoform 2 of Ubiquilin-1	35	4	C	UR	346.942	162.105	139.286	285.266	230.826	122.391	92.2813	277.307	206.113	190.918	177.833
sp|Q9UHD9|UBQL2_HUMAN	UBQLN2	UBQL2_HUMAN Ubiquilin-2	35	81	C	UR	9495.24	15349.6	14865.2	17500.3	18033.8	12286.9	13461.4	15236.9	19690.1	14260.2	15049.3
sp|A1X283|SPD2B_HUMAN	SH3PXD2B	SPD2B_HUMAN SH3 and PX domain-containing protein 2B	36	97	C	UR	46691.2	24311.8	17538.5	9497.68	5821.58	8821.25	17331	25819.1	9623.92	12267.9	11338.2
sp|Q5TCZ1|SPD2A_HUMAN	SH3PXD2A	SPD2A_HUMAN SH3 and PX domain-containing protein 2A	36	17	C	UR	5964.63	3378.14	3232.39	1900.46	2573.7	4391.29	2366.46	4926.33	3188.27	3352.83	3063.92
sp|Q9NRL3|STRN4_HUMAN	STRN4	STRN4_HUMAN Striatin-4	37	57	C	UR	5235.47	7015.23	7141.13	13047	9001.69	5308.88	7327.09	6731.41	9139.99	7075.02	7707.87
sp|Q13033|STRN3_HUMAN	STRN3	STRN3_HUMAN Striatin-3	37	64	C	UR	17801.8	9223.26	12005.3	10791	11787.9	5600.99	6960.1	11901.1	8454.59	7266.88	7182.15
sp|O43815|STRN_HUMAN	STRN	STRN_HUMAN Striatin	37	99	C	UR	12231.7	18266.3	20729.7	15133.9	14368.4	15840	15414.9	11519.8	23165.7	15892.8	17976.5
sp|Q9BQE4|SELS_HUMAN	VIMP	SELS_HUMAN Selenoprotein S	38	27	C	UR	14831.4	10724.1	5220.8	3228.09	3780.63	2578.98	1944.49	4427.71	3375.65	4446.42	4021.16
sp|Q8WWH5|TRUB1_HUMAN	TRUB1	TRUB1_HUMAN Probable tRNA pseudouridine synthase 1	39	37	C	UR	5206.57	5588.04	4650.5	8548.22	7388.26	9565.47	8859.38	6850.46	7547.6	7046.96	7859.92
sp|O95602|RPA1_HUMAN	POLR1A	RPA1_HUMAN DNA-directed RNA polymerase I subunit RPA1	40	189	C	UR	20768.1	32125.5	15608.3	21906	19108.1	46716.3	34807.8	33453.4	28822.8	37375.7	35362.2
sp|O14802|RPC1_HUMAN	POLR3A	RPC1_HUMAN DNA-directed RNA polymerase III subunit RPC1	40	110	C	UR	17324.1	22521.4	15945.3	20661.7	19565.6	21617.1	23923.7	19354.4	16003.2	20166.2	18900.5
sp|Q96D53|ADCK4_HUMAN	ADCK4	ADCK4_HUMAN Uncharacterized aarF domain-containing protein kinase 4	41	54	C	UR	8146.41	9513.35	5038.1	13071.6	10720.2	4616.42	7933.71	2896.98	6058.51	7525.31	6160.77
sp|O95159|ZFPL1_HUMAN	ZFPL1	ZFPL1_HUMAN Zinc finger protein-like 1	42	34	C	UR	3996.93	3800.02	7414.21	2160.06	4872.09	5164.63	3358.81	2629.76	2819.18	4668.61	3741.05
sp|Q6P2E9|EDC4_HUMAN	EDC4	EDC4_HUMAN Enhancer of mRNA-decapping protein 4	43	178	C	UR	22350.2	22194	17159.2	41682.8	13024.9	27738.6	24002.9	30692.7	45687.6	19666.7	18905.4
sp|Q9UNF1|MAGD2_HUMAN	MAGED2	MAGD2_HUMAN Melanoma-associated antigen D2	44	143	C	UR	6680.8	23676.1	80733	16849.6	64949.3	16601.8	14149.8	10696.7	11851.2	13244.9	14755.2
sp|Q9Y5V3-2|MAGD1_HUMAN	MAGED1	MAGD1_HUMAN Isoform 2 of Melanoma-associated antigen D1	44	44	C	UR	2359.2	3805.01	7425.83	4596.37	8739.25	6690.47	3558.43	2384.69	2670.8	3151.94	3096.49
sp|Q9NZQ3|SPN90_HUMAN	NCKIPSD	SPN90_HUMAN NCK-interacting protein with SH3 domain	45	30	C	UR	2777.16	1702.97	4606.86	3108.19	3910.83	2662.99	4846.16	4237.99	2567.24	2787.95	2955.38
sp|Q9NQP4|PFD4_HUMAN	PFDN4	PFD4_HUMAN Prefoldin subunit 4	46	18	C	UR	954.009	2269.09	3817.01	3549.59	2971.11	5162.47	4214	4073.73	3584.57	3668.23	3264.53
sp|O95551-2|TYDP2_HUMAN	TDP2	TYDP2_HUMAN Isoform 2 of Tyrosyl-DNA phosphodiesterase 2	47	18	C	UR	1331.46	1773.37	1768.73	1551.05	2273.19	4273.21	3178.8	4770.03	2913.88	3527.92	3388.03
sp|O15357|SHIP2_HUMAN	INPPL1	SHIP2_HUMAN Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	48	136	C	UR	25786.5	9759.85	22351.9	25245.9	13698.5	28717.9	19315.1	27230.7	27350.3	15607.5	15393.7
sp|Q6UW63|KDEL1_HUMAN	KDELC1	KDEL1_HUMAN KDEL motif-containing protein 1	48	31	C	UR	1769.99	830.932	3613.2	1803.32	1532.66	3750.92	4779.53	9238.8	11317.1	5391.24	5310.69
sp|Q9H9Y2|RPF1_HUMAN	RPF1	RPF1_HUMAN Ribosome production factor 1	49	42	C	UR	5746.13	4641.03	3298.27	4875.83	4572.07	7147.36	9394.02	9312.82	6197.01	9307.9	9563.13
sp|Q96P70|IPO9_HUMAN	IPO9	IPO9_HUMAN Importin-9	50	123	C	UR	8316.26	18920.8	16288.8	27840.9	19302.2	21997.2	16736.2	14439.9	16997.8	21232.1	16304.4
sp|P21953|ODBB_HUMAN	BCKDHB	ODBB_HUMAN 2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	51	46	C	UR	11698.1	14822.1	9691.1	9744.92	9127.2	4140.13	8587.84	5804.44	4921	5594.29	5542.04
sp|P30260-2|CDC27_HUMAN	CDC27	CDC27_HUMAN Isoform 2 of Cell division cycle protein 27 homolog	52	77	C	UR	5884.36	5560.46	5438.69	8134.29	5890.52	12047.7	14866	19290.8	15370.4	11104.9	12427
sp|O15042|SR140_HUMAN	U2SURP	SR140_HUMAN U2 snRNP-associated SURP motif-containing protein	53	162	C	UR	21016.4	18963.6	25345.5	23515.8	23195.4	25285.1	28596.7	25732.6	23711.7	28492.5	29212.3
sp|O15042-2|SR140_HUMAN	U2SURP	SR140_HUMAN Isoform 2 of U2 snRNP-associated SURP motif-containing protein	53	4	C	UR	203.117	209.368	237.378	252.445	251.265	313.587	320.263	254.978	297.276	200.758	413.886
sp|Q96JB2|COG3_HUMAN	COG3	COG3_HUMAN Conserved oligomeric Golgi complex subunit 3	54	106	C	UR	19862.5	16647.2	25984	29423.5	39730.5	9341.39	11587.5	14290.5	11475.5	16648.2	14797.3
sp|Q01780|EXOSX_HUMAN	EXOSC10	EXOSX_HUMAN Exosome component 10	55	178	C	UR	23550.4	29608.8	21850.7	29281.9	13529.7	42318.7	26973.3	47336.2	27574.7	37460.3	37934.8
sp|P02786|TFR1_HUMAN	TFRC	TFR1_HUMAN Transferrin receptor protein 1	56	248	C	UR	52205.9	12455.4	73250.7	25547	25914.8	61227.3	80414.4	20734.5	35727.5	55053	52801
sp|P07954|FUMH_HUMAN	FH	FUMH_HUMAN Fumarate hydratase, mitochondrial	57	367	C	UR	74217.4	71367.4	82489.1	55465.6	60412.5	38966.1	41851.1	33310.1	26917.1	38417.8	36970.9
sp|Q9Y490|TLN1_HUMAN	TLN1	TLN1_HUMAN Talin-1	58	793	C	UR	38437.7	68845.7	81656.7	61763.9	66270.1	74566.8	129933	110975	368116	117658	134624
sp|Q9Y4G6|TLN2_HUMAN	TLN2	TLN2_HUMAN Talin-2	58	219	C	UR	21264.4	40437.2	30606.4	22913.2	27799.8	33745.3	33410	29277.5	64661	32151.8	33483.5
sp|P18621-3|RL17_HUMAN	RPL17	RL17_HUMAN Isoform 3 of 60S ribosomal protein L17	58	178	C	UR	35939.9	30263.2	26096.1	34554	28755.8	33861.8	44014.6	43546.4	41845.1	31275.7	35663.2
sp|O94826|TOM70_HUMAN	TOMM70A	TOM70_HUMAN Mitochondrial import receptor subunit TOM70	59	261	C	UR	73355.8	33196.3	61933	34112.7	58672.9	27415.5	46301	14264.2	26312.1	33542.5	35690.6
sp|Q96L58|B3GT6_HUMAN	B3GALT6	B3GT6_HUMAN Beta-1,3-galactosyltransferase 6	60	14	C	UR	1268.49	2177.63	1463.69	3509.77	1701.32	1606.19	1640.07	976.135	1465.62	1676.29	2035.51
sp|O95359|TACC2_HUMAN	TACC2	TACC2_HUMAN Transforming acidic coiled-coil-containing protein 2	61	135	C	UR	44659.3	25657	22134.4	12142.2	27230.6	12547.9	13150.6	8995.56	12132.4	23286.9	26208.8
sp|O75410-2|TACC1_HUMAN	TACC1	TACC1_HUMAN Isoform 2 of Transforming acidic coiled-coil-containing protein 1	61	85	C	UR	6705.82	17257.4	8028.34	12418.9	5837.6	11138	9817.55	21871.3	20723.2	16042.1	19308.2
sp|Q9P0V3|SH3B4_HUMAN	SH3BP4	SH3B4_HUMAN SH3 domain-binding protein 4	62	124	C	UR	36008.4	9632.74	20701.6	16136.4	27726.5	24751.3	24883.4	7647.46	12828.5	20473.9	18811.4
sp|Q9Y6X3|SCC4_HUMAN	MAU2	SCC4_HUMAN MAU2 chromatid cohesion factor homolog	63	29	C	UR	3276.48	4157.35	3832.78	3662.56	4851.63	5794.29	5459.82	4327.19	5108.32	6296.23	5262.08
sp|Q17RC7|EX3L4_HUMAN	EXOC3L4	EX3L4_HUMAN Exocyst complex component 3-like protein 4	64	1	C	UR	30.041	19.7231	28.3704	28.2536	81.7073	247.828	63.4951	53.926	1140.81	741.922	870.849
sp|Q16270|IBP7_HUMAN	IGFBP7	IBP7_HUMAN Insulin-like growth factor-binding protein 7	64	29	C	UR	446.672	436.085	627.337	720.266	1407.45	5410.2	1263.53	954.142	20789.7	16580	16428.6
sp|Q96P11-2|NSUN5_HUMAN	NSUN5	NSUN5_HUMAN Isoform 2 of Putative methyltransferase NSUN5	65	71	C	UR	8783.67	6874.2	3919.47	6027.71	6352.99	15803.3	9768.12	12203	7804.08	8910.27	9252.97
tr|F5H1R7|F5H1R7_HUMAN	FLJ22184	F5H1R7_HUMAN Protein FLJ22184	66	5	C	UR	159.749	198.015	459.629	310.333	218.185	173.753	471.13	393.188	187.037	210.2	190.138
sp|O95238|SPDEF_HUMAN	SPDEF	SPDEF_HUMAN SAM pointed domain-containing Ets transcription factor	67	7	C	UR	1081.61	1143.22	1528.46	1466.37	2146.55	394.512	385.833	237.123	385.542	598.739	724.72
sp|Q8N4T8|CBR4_HUMAN	CBR4	CBR4_HUMAN Carbonyl reductase family member 4	68	27	C	UR	6200.39	13122.7	12677.3	3380.87	1696.72	2452.05	3356.91	1846.53	4076.61	2466.33	2639.62
sp|Q9P2E9|RRBP1_HUMAN	RRBP1	RRBP1_HUMAN Ribosome-binding protein 1	69	430	C	UR	62307.2	43617	81654.2	53912.4	126376	30567.6	49280.4	41887.1	80482.7	81458.3	100681
